italian_group;Italian;Italian;Italian;;Italian;;;;;;;;;x
north_african;Berber;Berbère;Berber;;Bereber;;;;;;;;;x
iberian;Ibero-Romance;Ibero-Romance;Ibero-Romance;;Ibero-Romance;;;;;;;;;x
central_slavic;Central Slavic;Central Slavic;Central Slavic;;Central Slavic;;;;;;;;;x
#italian_group;Italiano;Italiano;Italiano;;Italiano;;;;;;;;;x
########################################;;;;;;;;;;;;;;
sanhaja;Znága;Znága;Znága;;Znága;;;;;;;;;x
masmuda;Imesmuden;Imesmouden;Imesmuden;;Imesmouden;;;;;;;;;x
zanata;Aznáta;Aznáta;Aznáta;;Aznáta;;;;;;;;;x
soninke;Soninke;Soninke;Soninke;;Soninke;;;;;;;;;x
wolof;Wolof;Wolof;Wolof;;Wolof;;;;;;;;;x
nubian;Nubian;Nubian;Nubian;;Nubian;;;;;;;;;x
songhai;Songhai;Songhai;Songhai;;Songhai;;;;;;;;;x
tagelmust;Tagelmust;Tagelmoust;Tagelmoust;;Tagelmust;;;;;;;;;x
hausa;Hausa;Hausa;Hausa;;Hausa;;;;;;;;;x
kanuri;Kanuri;Kanuri;Kanuri;;Kanuri;;;;;;;;;x
zaghawa;Zaghawa;Zaghawa;Zaghawa;;Zaghawa;;;;;;;;;x
beja;Beja;Beja;Beja;;Beja;;;;;;;;;x
daju;Daju;Daju;Daju;;Daju;;;;;;;;;x
falashim;Beta Yisrael;Beta Yisrael;Beta Yisrael;;Beta Yisrael;;;;;;;;;x
afar;Afar;Afar;Afar;;Afar;;;;;;;;;x
########################################;;;;;;;;;;;;;;
khorasani;Khorasani;Khorasani;Khorasani;;Khorasani;;;;;;;;;x
khwarezmi;Khwarezmi;Khwarezmi;Khwarezmi;;Khwarezmi;;;;;;;;;x
sogdian;Soghdian;Soghdian;Soghdian;;Soghdian;;;;;;;;;x
saka;Saka;Saka;Saka;;Saka;;;;;;;;;x
tokharian;Tokharí;Tokharí;Tokharí;;Tokharí;;;;;;;;;x
daylamite;Daylamí;Daylamí;Daylamí;;Daylamí;;;;;;;;;x
afghan;Pashto;Pashto;Pashto;;Pashto;;;;;;;;;x
uyghur;Uighur;Uighur;Uighur;;Uighur;;;;;;;;;x
qirghiz;Qirghiz;Qirghiz;Qirghiz;;Qirghiz;;;;;;;;;x
tajik;Tajik;Tajik;Tajik;;Tajik;;;;;;;;;x
cuman;Qipçaq;Qipçaq;Qipçaq;;Qipçaq;;;;;;;;;x
karluk;Qarluq;Qarluq;Qarluq;;Qarluq;;;;;;;;;x
pecheneg;Beçenek;Beçenek;Beçenek;;Beçenek;;;;;;;;;x
khazar;Qasar;Qasar;Qasar;;Qasar;;;;;;;;;x
kabar;Qabar;Qabar;Qabar;;Qabar;;;;;;;;;x
oghuz;Oghuz;Oghuz;Oghuz;;Oghuz;;;;;;;;;x
turkmen;Türkmen;Türkmen;Türkmen;;Türkmen;;;;;;;;;x
pahlavi;Parsig;Parsig;Parsig;;Parsig;;;;;;;;;x
persian;Pársí;Pársí;Pársí;;Pársí;;;;;;;;;x
#;;;;;;;;;;;;;;
bashkir;Bashqurd;Bashqurd;Bashqurd;;Bashqurd;;;;;;;;;x
kasogi;Adyghe;Adyghe;Adyghe;;Adyghe;;;;;;;;;x
szekely;Székely;Székely;Székely;;Székely;;;;;;;;;x
#HRE;;;;;;;;;;;;;;
german;Diutsch;Diutsch;Diutsch;;Diutsch;;;;;;;;;x
dutch;Dietsch;Dietsch;Dietsch;;Dietsch;;;;;;;;;x
low_german;Düdisch;Düdisch;Düdisch;;Düdisch;;;;;;;;;x
low_saxon;Sehsisk;Sehsisk;Sehsisk;;Sehsisk;;;;;;;;;x
thuringian;Duringisk;Duringisk;Duringisk;;Duringisk;;;;;;;;;x 
old_frankish;Frenkisc;Frenkisc;Frenkisc;;Frenkisc;;;;;;;;;x 
franconian;Frenkisk;Frenkisk;Frenkisk;;Frenkisk;;;;;;;;;x 
low_frankish;Frankisk;Frankisk;Frankisk;;Frankisk;;;;;;;;;x 
bavarian;Beiarisk;Beiarisk;Beiarisk;;Beiarisk;;;;;;;;;x 
swabian;Alamannisk;Alamannisk;Alamannisk;;Alamannisk;;;;;;;;;x 
frisian;Fresisk;Fresisk;Fresisk;;Fresisk;;;;;;;;;x
#More Persia;;;;;;;;;;;;;;
qufs;Kufichi;Kufichi;Kufichi;;Kufichi;;;;;;;;;x
khalaj;Khaláj;Khaláj;Khaláj;;Khaláj;;;;;;;;;x
brahui;Brahui;Brahui;Brahui;;Brahui;;;;;;;;;x
#;;;;;;;;;;;;;;
romanian;Rumân;Rumân;Rumân;;Rumân;;;;;;;;;x
#;;;;;;;;;;;;;;
sinic;Sinic;Sinic;Sinic;;Sinic;;;;;;;;;x
khitan;Qidun'i;Qidun'i;Qidun'i;;Qidun'i;;;;;;;;;x
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
#to be removed;;;;;;;;;;;;;;
pashtun;Outdated Pashto;Outdated Pashto;Outdated Pashto;;Outdated Pashto;;;;;;;;;x
uighur;Outdated Uighur;Outdated Uighur;Outdated Uighur;;Outdated Uighur;;;;;;;;;x
soghdian;Outdated Soghdian;Outdated Soghdian;Outdated Soghdian;;Outdated Soghdian;;;;;;;;;x
